categoryName,nameEn,namePt,descriptionEn,descriptionPt,price,order,available
Starters,Garlic Bread with Cheese,Pão de Alho com Queijo,100% mozzarella, garlic, oregano, olive oil,100% mozzarella, alho, orégãos, azeite,2.50€,10,true
Starters,Avocado Toast,Torrada de Abacate,"Toast, avocado, feta, olive oil, salt, lemon, pepper","Torrada, abacate, feta, azeite, sal, limão, pimenta",6.00€,20,true
Starters,Garlic Finger with Cheese,Dedo de Alho com Queijo,"Cheese, garlic, butter, oregano","Queijo, alho, manteiga, orégãos",6.50€,30,true
Starters,Burrata,Burrata,"Burrata 120gm cheese, arugula, cherry tomatoes, olive oil, oregano","Queijo burrata 120gm, rúcula, tomate cereja, azeite, orégãos",6.50€,40,true
Starters,Pepperoni Roll (6 units),Rolo de Pepperoni (6 unidades),"Pepperoni, mozzarella, olive oil, oregano","Pepperoni, mozzarella, azeite, orégãos",6.99€,50,true
Starters,Cheese Stick,Palito de Queijo,"Made capatu, mozzarella, basil, oregano","Feito capatu, mozzarella, manjericão, orégãos",6.99€,60,true
Starters,Shrimp Finger,Dedo de Camarão,"Tomato sauce, mozzarella, shrimp, and mayonnaise","Molho de tomate, mozzarella, camarão e maionese",7.99€,70,true
Starters,Bruschetta Prosciutto,Bruschetta Prosciutto,"Toasted bread, ricotta cheese, ham, basil pesto","Pão torrado, queijo ricota, presunto, pesto de manjericão",4.99€,80,true
Starters,Bruschetta Milano,Bruschetta Milano,"Toasted buffalo bread, rocket, cherry tomatoes, fresh","Pão de búfala torrado, rúcula, tomate cereja, fresco",4.99€,90,true
Pizza,Pizza Marinara with Buffalo,Pizza Marinara com Búfala,"Caputo flour, tomato sauce, cherry tomato, buffalo, basil, oregano","Farinha Caputo, molho de tomate, tomate cereja, búfala, manjericão, orégãos",M: 8.50€ / R: 9.50€,10,true
Pizza,Queijoes Sabor Special,Queijões Sabor Especial,"Caputo flour, tomato sauce, fresh mozzarella, gorgonzola, taleggio, parmesan, oregano","Farinha Caputo, molho de tomate, mozzarella fresca, gorgonzola, taleggio, parmesão, orégãos",M: 8.50€ / R: 9.50€,20,true
